goos: linux
goarch: amd64
pkg: lc23bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkFlattenSort/k=10/n=100-24         	   21267	     49505 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	     756	   1457183 ns/op	  981569 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	     836	   1351364 ns/op	  981569 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	    1290	   1242492 ns/op	  981569 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	     897	   1490201 ns/op	  981568 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	     938	   1508905 ns/op	  981569 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	     736	   1485123 ns/op	  981568 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     507	   2463835 ns/op	 1641281 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     495	   2245639 ns/op	 1641281 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     592	   2436956 ns/op	 1641280 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     513	   2427220 ns/op	 1641281 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     486	   2288972 ns/op	 1641281 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     531	   2276929 ns/op	 1641291 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     649	   2232144 ns/op	 1641282 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     549	   2463240 ns/op	 1641282 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     517	   2077776 ns/op	 1641280 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=300-24        	     447	   2571661 ns/op	 1641280 B/op	   30021 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     316	   3560055 ns/op	 2153538 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     336	   3509140 ns/op	 2153538 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     352	   3677177 ns/op	 2153538 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     319	   3595430 ns/op	 2153537 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     363	   3630409 ns/op	 2153537 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     330	   3678611 ns/op	 2153538 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     315	   3615312 ns/op	 2153536 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     336	   3449578 ns/op	 2153540 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     306	   3658141 ns/op	 2153538 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=400-24        	     331	   3177742 ns/op	 2153538 B/op	   40022 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     278	   4558023 ns/op	 2755905 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     297	   3845346 ns/op	 2755905 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     345	   3433118 ns/op	 2755905 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     290	   4568877 ns/op	 2755905 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     268	   4431984 ns/op	 2755904 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     259	   4889175 ns/op	 2755906 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     266	   4413012 ns/op	 2755905 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     273	   4560965 ns/op	 2755907 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     241	   4982218 ns/op	 2755908 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=100/n=500-24        	     246	   4802473 ns/op	 2755904 B/op	   50023 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     146	   8353753 ns/op	 5709649 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     135	   8684354 ns/op	 5709510 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     142	   8445272 ns/op	 5709546 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     140	   8587659 ns/op	 5709507 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     140	   8464250 ns/op	 5709546 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     144	   8386712 ns/op	 5709506 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     139	   8364434 ns/op	 5709507 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     135	   8435417 ns/op	 5709509 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     168	   7625474 ns/op	 5709506 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=100-24       	     140	   8324559 ns/op	 5709547 B/op	  100026 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	      78	  14714546 ns/op	11577536 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	      64	  15650045 ns/op	11577620 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	     100	  14284694 ns/op	11577539 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	      66	  15380166 ns/op	11577618 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	     100	  14591747 ns/op	11577538 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	      80	  14818179 ns/op	11577536 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	      93	  14126168 ns/op	11577537 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	      76	  15742175 ns/op	11577536 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	     100	  14849753 ns/op	11577537 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=200-24       	     100	  14247701 ns/op	11577539 B/op	  200029 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      73	  23182920 ns/op	18125504 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      67	  21877597 ns/op	18125590 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      55	  22334823 ns/op	18125504 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      63	  22432156 ns/op	18125505 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      54	  22953076 ns/op	18125506 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      46	  23245653 ns/op	18125504 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      49	  24258913 ns/op	18125504 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      54	  23694254 ns/op	18125504 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      58	  23314811 ns/op	18125506 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=300-24       	      50	  22946196 ns/op	18125504 B/op	  300031 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      40	  27575609 ns/op	23174336 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      38	  28337728 ns/op	23174336 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      54	  28939202 ns/op	23174338 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      39	  29319658 ns/op	23174341 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      42	  30987746 ns/op	23174336 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      40	  29123041 ns/op	23174338 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      38	  29644488 ns/op	23174336 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      46	  26145324 ns/op	23174340 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      58	  27480561 ns/op	23174336 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=400-24       	      42	  28585452 ns/op	23174338 B/op	  400032 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      30	  35518334 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      32	  34058041 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      33	  36129515 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      33	  35398061 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      42	  34765524 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      42	  33846814 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      31	  34734075 ns/op	29091523 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      43	  34658177 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      33	  36191994 ns/op	29091523 B/op	  500033 allocs/op
BenchmarkFlattenSort/k=1000/n=500-24       	      38	  35310475 ns/op	29091520 B/op	  500033 allocs/op
BenchmarkSequential/k=10/n=100-24          	  100592	     12038 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	  100046	     11931 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	  100424	     12074 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	   96428	     12168 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	   99658	     11933 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	   93135	     12048 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	   83253	     12289 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	   92949	     12177 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	  100112	     12008 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=100-24          	  100732	     11855 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   50578	     23726 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   49998	     23881 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   49546	     23956 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   49128	     23933 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   50250	     23780 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   50378	     23820 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   50331	     23769 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   50539	     23843 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   50023	     24033 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=200-24          	   49743	     25220 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33408	     35906 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33474	     35859 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33487	     35518 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33781	     35635 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33436	     35837 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33603	     36193 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33648	     35636 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   31471	     36993 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33512	     35816 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=300-24          	   33502	     35747 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25232	     47423 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25216	     47650 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25105	     47878 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25000	     48085 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   24997	     47995 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25160	     47958 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25186	     47658 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   23360	     50652 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25140	     47713 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=400-24          	   25198	     47768 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19678	     61208 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19669	     60937 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19674	     61208 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19671	     60973 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19612	     61185 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19626	     61053 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19621	     61367 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19447	     61540 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19484	     61544 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=10/n=500-24          	   19630	     61267 ns/op	      80 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1767	    667428 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1800	    665895 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1800	    684678 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1795	    670365 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1785	    675200 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1790	    679517 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1779	    671658 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1783	    673431 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1778	    671933 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=100-24         	    1791	    669812 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     872	   1368023 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     870	   1366227 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     879	   1427939 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     806	   1407449 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     856	   1395367 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     877	   1367838 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     817	   1374445 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     842	   1395736 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     858	   1409388 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=200-24         	     880	   1361754 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     541	   2161996 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     547	   2121535 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     555	   2160823 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     560	   2139078 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     540	   2126419 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     568	   2107301 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     571	   2098167 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     567	   2111592 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     542	   2126737 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=300-24         	     570	   2103697 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     396	   2880151 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     417	   2865117 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     423	   2827100 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     396	   2944641 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     367	   2958253 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     412	   2883543 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     421	   2827234 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     417	   2890798 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     406	   2861720 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=400-24         	     403	   2894657 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     235	   5095682 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     230	   5148163 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     219	   5256194 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     232	   5131299 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     235	   5142333 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     225	   5204944 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     236	   5068168 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     232	   5130697 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     235	   5086551 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=100/n=500-24         	     232	   5126890 ns/op	     896 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       7	 166508506 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 168306288 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 167040070 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 168448750 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       7	 165937792 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 168029920 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 169571545 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 168580626 ns/op	    8192 B/op	       1 allocs/op
BenchmarkSequential/k=1000/n=100-24        	       6	 170931685 ns/op	    8192 B/op	       1 allocs/op
